LemonEntry,partOfSpeech,writtenForm,reference
ist eine US-amerikanische,adjective,ist eine US-amerikanische,http://dbpedia.org/ontology/starring
spezialisieren,adjective,spezialisieren,http://dbpedia.org/ontology/nationality
serbisch,adjective,serbisch,http://dbpedia.org/ontology/operator
deutsch,adjective,deutsch,http://dbpedia.org/ontology/birthPlace
frei,adjective,frei,http://dbpedia.org/ontology/programmingLanguage
deutsch,adjective,deutsch,http://dbpedia.org/ontology/birthPlace
deutsch,adjective,deutsch,http://dbpedia.org/ontology/birthPlace
ehemalig,adjective,ehemalig,http://dbpedia.org/ontology/coach
US-amerikanisch,adjective,US-amerikanisch,http://dbpedia.org/ontology/operator
gleichnamig,adjective,gleichnamig,http://dbpedia.org/ontology/birthPlace
deutsch,adjective,deutsch,http://dbpedia.org/ontology/birthPlace
